Row Labels,Count of STREET
CHRISTOPHER ST,2
CAROLINA AVE,2
CHURCH ST,2
PERSHING RD,2
FENTON ST,2
PERTHSHIRE RD,2
SUMMIT AVE,2
ALDWORTH ST,2
CLARE AVE,2
HANO ST,2
HUMPHREYS ST,2
PILGRIM RD,2
DUNSTER RD,2
CASTLETON ST,2
TEMPLE PL,2
CATON ST,2
FERN ST,2
PLYMPTON ST,2
DALESSIO CT,2
CAUSEWAY ST,2
ALBEMARLE ST,2
POPLAR ST,2
JOSEPHINE ST,2
PORTLAND ST,2
TOWNSEND ST,2
ALMONT ST,2
TRAVELER ST,2
BISMARCK ST,2
CLAYBOURNE ST,2
PRESCOTT ST,2
TRUMAN PKWY,2
ETNA ST,2
JUSTIN RD,2
DAKOTA ST,2
UNION AVE,2
CEDRIC ST,2
FLOYD ST,2
HARRISON,2
VAUGHAN AVE,2
RADNOR RD,2
KERR WAY,2
RANSOM RD,2
VINSON ST,2
RAVEN ST,2
CLEMENTINE PARK,2
RECTOR RD,2
BRADFORD ST,2
BLACKSTONE ST,2
LAMARTINE ST,2
REEDSDALE ST,2
CLIVE ST,2
HARTFORD ST,2
COLBORNE RD,2
ALEXANDER ST,2
COLEUS PARK,2
REXHAME ST,2
LANGDON ST,2
RICHARDSON ST,2
BRAGDON ST,2
CENTRAL SQ,2
WADE ST,2
RIPLEY RD,2
WALDECK ST,2
RIVERVIEW RD,2
WALES ST,2
RIVERWAY,2
LEEDSVILLE ST,2
ROBIN HOOD ST,2
AGUADILLA ST,2
ROBINWOOD AVE,2
LEWIS ST,2
ROCKVALE CIR,2
WAUMBECK ST,2
ROCKWELL ST,2
WAYNE ST,2
CHAMBERLAIN ST,2
WELLINGTON HILL ST,2
ROSECLIFF ST,2
BALFOUR ST,2
ROSEWAY ST,2
WESTCOTT ST,2
BLACKWOOD ST,2
WESTGLOW ST,2
ROSSETER ST,2
LONG AVE,2
BLAGDEN ST,2
LORNA RD,2
ROUND HILL ST,2
FOX ST,2
HARVEST ST,2
E NEWTON ST,2
ABBOTSFORD ST,2
MANSFIELD ST,2
EVERGREEN ST,2
BANTON ST,2
HATHERLY RD,2
MARGINAL ST,2
CHARLES,2
WISE ST,2
S MUNROE TER,2
WOODBINE ST,2
BLAKE ST,2
WOODCLIFF ST,2
CHARLOTTE ST,2
WOODMAN ST,2
SAINT CHARLES ST,2
WOODSIDE AVE,2
SAINT JOHN ST,2
MATTAPAN ST,2
BEAUFORD LN,2
MCBRIDE ST,2
BEAUMONT ST,2
SAINT MARKS RD,2
MORA ST,2
MIDLAND ST,2
W HOWELL ST,1
DUNREATH ST,1
CHARLAME ST,1
MANLEY ST,1
AYR RD,1
BALLOU AVE,1
BALLARD ST,1
FREELAND ST,1
HOLMFIELD AVE,1
BRINTON ST,1
STONEHURST ST,1
E SERVICE RD,1
FIRTH RD,1
MARCELLA ST,1
WAREHAM ST,1
FRIEND ST,1
BRENT ST,1
MARGARET ST,1
HINCKLEY ST,1
FRUIT ST,1
HOOPER ST,1
ANNABEL ST,1
HUNNEWELL AVE,1
MARION PL,1
SURREY ST,1
BROCK ST,1
TORREY ST,1
MARK ST,1
KIRKWOOD RD,1
MARKET,1
WAIT ST,1
BROCKTON ST,1
FOTTLER RD,1
COURT SQ,1
LONGFELLOW PL,1
MARSHFIELD ST,1
ASHTON ST,1
MARYKNOLL ST,1
ARBORETUM RD,1
CORNELIA CT,1
SAINT JAMES ST,1
MASCOT ST,1
CHAUNCY ST,1
BROMLEY ST,1
SHABAZZ WAY,1
CORNELL ST,1
SOMERSET ST,1
MATHER ST,1
CHILTON RD,1
BELMONT ST,1
1307 COMMONWEALTH AVE,1
MATTHEWS ST,1
ARDENT ST,1
GALLIVAN BLVD,1
THORNLEY ST,1
BROOK AVE,1
TRENT ST,1
MAXWELL ST,1
CLEMATIS ST,1
ANNAFRAN ST,1
LAGRANGE ST,1
BROOKLEY RD,1
CRESTHILL RD,1
GANNETT ST,1
DAVID G MUGAR WAY,1
GARDEN COURT ST,1
WASHINGTON,1
ANNAPOLIS ST,1
LINNET ST,1
MCNULTY CT,1
WHITING ST,1
MEAD ST,1
WILTSHIRE RD,1
ALICIA RD,1
WOODHAVEN ST,1
CORWIN ST,1
MAJOR MICHAEL J O'CONNOR,1
GARDENSIDE ST,1
CRANSTON ST,1
MEEHAN ST,1
SAGAMORE ST,1
MELBOURNE ST,1
HOBART ST,1
MELLEN ST,1
HOLIDAY ST,1
MELNEA CASS BLVD,1
SARANAC ST,1
BARRY PARK,1
COSTELLO CIR,1
GARFIELD AVE,1
SELMA ST,1
GARNER RD,1
SHEAFE,1
MENDELL WAY,1
SLEEPER ST,1
MENLO ST,1
SOUTHERN AVE,1
DECKARD ST,1
SPRAGUE,1
MERDIAN,1
BOYD ST,1
BROOKWAY TER,1
IOWA ST,1
MERRIAM ST,1
CLAPP ST,1
GARTLAND ST,1
SYCAMORE ST,1
DEERING RD,1
DUVAL ST,1
MESSINGER ST,1
THELMA RD,1
ALBERT ST,1
AMHERST ST,1
BROWNING AVE,1
TRANSPORTATION WAY,1
MIDDLETON ST,1
KEMP ST,1
DEFOREST ST,1
CLAYTON ST,1
MILDRED AVE,1
VERSHIRE ST,1
MILES ST,1
VIRGINIA ST,1
BRUCE ST,1
DAMRELL ST,1
MILK ST,1
W RUTLAND SQ,1
MILL ST,1
W TREMLETT ST,1
MILLET ST,1
WALDEMAR AVE,1
GAYLAND ST,1
WALTER ST,1
GENE ST,1
LESLIE PARK,1
MINDEN ST,1
BRANTON ST,1
EDGEMERE RD,1
WENDELLER ST,1
MINTON ST,1
CONCORD ST,1
BATEMAN ST,1
WEYBOSSET ST,1
GENEVA ST,1
WILCOCK ST,1
GEORGIA ST,1
WILLOW ST,1
MONASTERY RD,1
WINSLOW ST,1
GERARD ST,1
LUBEC ST,1
ALLEGHANY ST,1
WOODMONT ST,1
MONSIGNOR ALBERT A. JACOB,1
MAGNOLIA PL,1
GILMER ST,1
ZAMORA ST,1
BRYON RD,1
RUTHERFORD AVE,1
GLADESIDE AVE,1
ARBELLA RD,1
MONTANA ST,1
CHARLESVIEW ST,1
MONTCALM AVE,1
ALTHEA ST,1
MONTEBELLO RD,1
SAINT CASIMIR ST,1
MONTELLO ST,1
SAINT GEORGE ST,1
MONTFERN AVE,1
SAINT LUKES RD,1
GLADSTONE ST,1
SAINT MARTIN ST,1
EDGEWATER DR,1
SALISBURY PARK,1
BERNARD ST,1
DUNBAR AVE,1
GLENARM ST,1
CHELMSFORD ST,1
MOON,1
BOULEVARD TER,1
BUCKINGHAM ST,1
HORAN WAY,1
MOORE ST,1
FAULKNER ST,1
EDINBORO ST,1
HOWARD PL,1
GLENDALE ST,1
HOWELL ST,1
GLENDOWER RD,1
SIDLAW RD,1
ATHELWOLD ST,1
SNOW ST,1
GLENSIDE AVE,1
FEDERAL ST,1
BERYL ST,1
SOUTHWICK ST,1
MORSE ST,1
SPENCER ST,1
BUICK ST,1
BOWKER ST,1
BULLARD ST,1
STANTON ST,1
ASTORIA ST,1
STELLMAN RD,1
GLENWOOD AVE,1
STOW RD,1
EGAN WAY,1
BOYLSTON PL,1
EGLESTON ST,1
SUMMIT ST,1
EGREMONT RD,1
ISLINGTON ST,1
DEVENS ST,1
DURHAM ST,1
BURBANK ST,1
SYLVESTER RD,1
MOUNTFORT ST,1
TAGGING AREA WIDE,1
ELBERT ST,1
JEWISH WAR VETERANS,1
MT EVERETT 174XD5,1
JOHN ELIOT SQ,1
MT VERNON,1
CLARKSON ST,1
MUNROE ST,1
THURSTON ST,1
MURDOCK ST,1
JOYCE RD,1
MURRAY CT,1
BEECH GLEN ST,1
GORDON PL,1
FIELDMONT ST,1
BURLINGTON AVE,1
TRESCOTT ST,1
ALLSTATE RD,1
TUFTS ST,1
ELDER ST,1
BEECH ST,1
N AFTER AIRPORT EXIT,1
KERWIN ST,1
BURRELL ST,1
FLETCHER ST,1
GOVE ST,1
VFW PKWY,1
N CRESCENT CIRCUIT,1
KITTREDGE ST,1
ELIOT ST,1
BRADSHAW ST,1
GRAMPIAN WAY,1
LAKEVILLE RD,1
N MEAD ST,1
COFFEY ST,1
GRANADA PARK,1
ASPEN ST,1
ELLERY ST,1
BEECHER ST,1
NARRAGANSETT ST,1
LARCHMONT ST,1
GRANT ST,1
FORDHAM RD,1
CURRIER ST,1
FOREST PL,1
ATHERSTONE ST,1
CRESTON ST,1
ELLIS ST,1
FORYSTH,1
GREENDALE RD,1
WARD ST,1
ELLISON AVE,1
WARREN PL,1
NEPTUNE RD,1
WASH,1
NEW CHARDON ST,1
WATERMAN RD,1
GREENOCK ST,1
ASHLAND ST,1
GREENOUGH AVE,1
LINDSEY ST,1
GREENVILLE ST,1
WENSLEY ST,1
NEW WHITNEY ST,1
LINWOOD ST,1
NEWACRE RD,1
ALBANO ST,1
BURTON ST,1
LIVINGSTONE ST,1
ALCOTT ST,1
COOK ST,1
BATTERYMARCH ST,1
LONDON,1
NEWHALL ST,1
WILLERS ST,1
GREENWOOD AVE,1
ANAWAN AVE,1
NEWPORT ST,1
COTUIT ST,1
BUSINESS ST,1
WINFIELD ST,1
ABERDEEN ST,1
WINTHROP SQ,1
NILES ST,1
WOOD AVE,1
GREW AVE,1
LYNDHURST ST,1
GREYCLIFF RD,1
WOODLEDGE ST,1
GREYLOCK RD,1
WOODRUFF WAY,1
NORCROSS PL,1
WOODWARD AVE,1
GREYMERE RD,1
CORBET ST,1
BUSSEY ST,1
MALLARD AVE,1
BUSWELL ST,1
MALLET ST,1
NORTH SQ,1
RUSSETT RD,1
ELMDALE ST,1
ALPHEUS RD,1
BYNNER ST,1
CHARLES RIVER AVE,1
BYRON ST,1
AVERY ST,1
CUSTER ST,1
S SYDNEY ST,1
NORWAY ST,1
SACO ST,1
GROTTO GLEN RD,1
SAINT ALBANS RD,1
NOTRE DAME ST,1
SAINT ANDREW RD,1
BILLINGS ST,1
SAINT BRENDAN RD,1
NOTTINGHILL RD,1
SAINT CECILIA ST,1
DEWITT DR,1
SAINT EDWARD RD,1
O'BRIEN CT,1
CHARTER,1
GUEST ST,1
DUMAS ST,1
ELMORE ST,1
FALKLAND ST,1
GURNEY ST,1
HOLLINGSWORTH ST,1
OAKLEY ST,1
BEAVER ST,1
OAKMAN ST,1
FARQUHAR ST,1
OAKVIEW TER,1
HOLWORTHY ST,1
OAKWOOD ST,1
CHASE ST,1
OCEAN ST,1
SAVANNAH AVE,1
CALEDONIAN AVE,1
SAVIN ST,1
OLD COLONY TER,1
HOMER ST,1
CALLENDER ST,1
BOTHWELL RD,1
OLD IRONSIDES WAY,1
SCOTTFIELD RD,1
OLD MORTON ST,1
HOPKINS ST,1
OLDFIELDS RD,1
SELKIRK RD,1
CALUMET ST,1
SELWYN ST,1
ORCHARDFIELD ST,1
HOWARD AVE,1
ANTHONY RIP VALENTI WA,1
SHAFTER ST,1
CAMDEN,1
ARBUTUS ST,1
GUSTIN ST,1
HOWE ST,1
OSCEOLA ST,1
FAWNDALE,1
COVINGTON ST,1
SHORT ST,1
CAMELOT CT,1
SILLOWAY ST,1
PAGE ST,1
CHICKATAWBUT ST,1
PALACE RD,1
FAYSTON ST,1
PALMER ST,1
SONOMA ST,1
HADWIN WAY,1
BOWDOIN,1
HALEY ST,1
SOUTHMERE RD,1
HALIFAX ST,1
FELLOWS ST,1
PARK PL,1
ALWIN ST,1
ATHERTON ST,1
SPICE ST,1
HALLET ST,1
ABBOT ST,1
HALLOWELL ST,1
STANDARD ST,1
DIMOCK ST,1
STANLEY ST,1
AUBURN ST,1
ARCOLA ST,1
DABNEY ST,1
FENDALE AVE,1
PARKTON RD,1
IMRIE RD,1
PARLEY AVE,1
INDIA ST,1
PARLEY VALE,1
BOYDEN ST,1
ALDWIN RD,1
FENENO TER,1
PARSONS ST,1
FENSMERE RD,1
PASADENA RD,1
ISLAND ST,1
PATTEN ST,1
SUMNER PARK,1
HANNON ST,1
SUNCREST RD,1
PAULDING ST,1
SUPPLE RD,1
ERNEST AVE,1
DALRYMPLE ST,1
COWING ST,1
SWALLOW ST,1
CAROLINA PL,1
DUSTIN ST,1
PENHALLOW ST,1
SYMMES ST,1
PENNIMAN RD,1
CLARIDGE TER,1
PERCIVAL ST,1
JEROME ST,1
PERHAM ST,1
JEWETT ST,1
PERKINS AVE,1
TEMPLE ST,1
CARPENTER ST,1
TERRACE PL,1
PERRIN ST,1
THANE ST,1
COWPER ST,1
JONES AVE,1
AUGUSTUS AVE,1
DYER AVE,1
HARCOURT ST,1
THORNTON ST,1
CARRUTH ST,1
THWING ST,1
PHEASANT ST,1
JOYCE HAYES WAY,1
HARDING RD,1
JUDSON ST,1
PIEDMONT ST,1
FERRIN ST,1
HARLESTON ST,1
JUSTINIAN WAY,1
HAROLD PARK,1
AMORY AVE,1
PINEDALE RD,1
CLAXTON ST,1
PLAYSTEAD RD,1
DYER ST,1
HAROLD ST,1
TRINITY TER,1
PLEASANTON ST,1
KENILWORTH ST,1
PLEASANTVIEW ST,1
KENNEY ST,1
ESTELLA ST,1
KENTON RD,1
POMPEII ST,1
ARKLOW ST,1
BLACKFAN CIR,1
FLEET,1
ESTEY ST,1
DALTON ST,1
PORTINA RD,1
VASSAR ST,1
ESTRELLA ST,1
BRADEEN ST,1
PORTSMOUTH ST,1
VESTA RD,1
POTOSI ST,1
KINGSDALE ST,1
POWELLTON RD,1
VINELAND ST,1
DORR ST,1
FLINT PL,1
EUSTIS ST,1
FLORENCE ST,1
HARTLAWN RD,1
LAFIELD ST,1
PRESTON RD,1
LAKE SHORE RD,1
BEACHVIEW RD,1
CLINTON ST,1
PRIMUS AVE,1
LAMBERT ST,1
CAWFIELD ST,1
DANA AVE,1
CEDAR SQ,1
COLBURN ST,1
PUBLIC ALLEY NO 705,1
W PARK ST,1
PUBLIC ALLEY NO 715,1
W SCHOOL ST,1
BEACON,1
COLLISTON RD,1
QUEEN ST,1
BRAINARD ST,1
BLAINE ST,1
COLUMBIA,1
EVANS RD,1
LARK ST,1
QUINN WAY,1
DARTMOUTH PL,1
CENTER PLZ,1
WAKULLAH ST,1
RADCLIFFE RD,1
LEAHAVEN RD,1
RADCLIFFE ST,1
LEAMINGTON RD,1
HARVESTER ST,1
ABBY RD,1
RALWOOD RD,1
LENNON CT,1
RANDOLPH ST,1
BRANDYWYNE DR,1
EVANS ST,1
COMM,1
HATCH ST,1
WARE ST,1
READING ST,1
ALASKA ST,1
DORSET ST,1
COMMON ST,1
REDDY AVE,1
LESLIE ST,1
HAVILAND ST,1
ALFORD ST,1
DOUGLASS PARK,1
ASHCROFT ST,1
DOWNER AVE,1
LEXINGTON AVE,1
HAWLEY ST,1
LIME ST,1
HAYDN ST,1
WELD AVE,1
EVERTON ST,1
BRECK AVE,1
RICHFIELD ST,1
WELLSMERE RD,1
BEALE ST,1
LINGARD ST,1
RIDGE ST,1
WENTWORTH ST,1
CENTRAL ST,1
WESTBOURNE TER,1
RINGGOLD ST,1
FOUNDRY ST,1
HEBRON ST,1
LIVERMORE ST,1
CENTRE AVE,1
WESTMINSTER AVE,1
DR. MICHAEL GAVIN WAY,1
WESTVIEW ST,1
FABYAN ST,1
WEYANOKE ST,1
ROBERT ST,1
LOCHSTEAD AVE,1
ROBESON ST,1
LOCUST ST,1
BOARDMAN ST,1
E MAIN ST,1
HENDRY ST,1
WHITTIER ST,1
ROCKDALE ST,1
ALGONQUIN ST,1
ROCKLAND ST,1
FRANCONIA ST,1
ROCKNE AVE,1
LONGFELLOW ST,1
DRACUT ST,1
WILLOW CT,1
ANTWERP ST,1
WILLOWWOOD ST,1
HENSHAW TER,1
WILMOT ST,1
ROLAND ST,1
WINDHAM RD,1
CEYLON ST,1
LORING ST,1
RONAN ST,1
WINTER ST,1
ROSEBERY RD,1
E NINTH ST,1
HERALD ST,1
LOTHROP ST,1
HEREFORD ST,1
LOURDES AVE,1
ROSELAND ST,1
LUCERNE ST,1
ROSEMARY ST,1
WOODGATE ST,1
HEWINS ST,1
FRANKLIN TER,1
HIAWATHA RD,1
BREWSTER ST,1
HICHBORN ST,1
MADISON PARK CT,1
HIGGINS ST,1
MAGAZINE ST,1
ROSWELL ST,1
WOODVILLE ST,1
FAIRFIELD ST,1
COPELAND ST,1
BOLSTER ST,1
FRAWLEY ST,1
HIGHLAND AVE,1
ANDOVER RD,1
HIGHLAND PARK AVE,1
FRAZER ST,1
ROZELLA ST,1
CORINNE RD,1
CHANNEL CENTER ST,1
CHAPPIE ST,1
RUSHMORE ST,1
(blank),
Grand Total,6720